run_id,benchmark,topology,num_agents,num_events,num_claim_nodes,num_claim_edges,num_agent_edges,num_root_claims,num_final_claims,num_placeholder_claims,max_out_degree,max_in_degree,max_claim_depth,mean_claim_depth
GAIA__chain__n128__s0__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,chain,128,128,11,6,2,1,0,4,1,1,76,32.143
GAIA__chain__n128__s0__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,chain,128,128,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n128__s0__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,chain,128,128,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n128__s0__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,chain,128,128,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n128__s0__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,chain,128,128,15,7,0,1,0,7,1,1,77,26.25
GAIA__chain__n128__s1__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,chain,128,128,118,94,71,1,1,23,1,1,127,59.747
GAIA__chain__n128__s1__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,chain,128,128,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n128__s1__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,chain,128,128,16,15,15,1,0,0,1,1,15,7.5
GAIA__chain__n128__s1__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,chain,128,128,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n128__s1__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,chain,128,128,11,5,0,1,0,5,1,1,122,64.5
GAIA__chain__n128__s2__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,chain,128,128,47,33,20,1,0,13,1,1,126,40.588
GAIA__chain__n128__s2__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,chain,128,128,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n128__s2__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,chain,128,128,38,36,35,1,1,1,1,1,127,99.162
GAIA__chain__n128__s2__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,chain,128,128,3,2,2,1,0,0,1,1,2,1.0
GAIA__chain__n128__s2__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,chain,128,128,3,1,0,1,0,1,1,1,117,58.5
GAIA__chain__n16__s0__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,chain,16,16,16,15,15,1,1,0,1,1,15,7.5
GAIA__chain__n16__s0__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,chain,16,16,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n16__s0__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,chain,16,16,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n16__s0__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,chain,16,16,4,3,3,1,0,0,1,1,3,1.5
GAIA__chain__n16__s0__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,chain,16,16,1,0,0,1,0,0,0,0,0,0.0
GAIA__chain__n16__s1__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,chain,16,16,4,3,3,1,0,0,1,1,3,1.5
GAIA__chain__n16__s1__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,chain,16,16,1,0,0,1,0,0,0,0,0,0.0
